allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,96606,{},False,,ɳ Dalabon (ER 2652),96605,96605
,,,,,96636,{},False,,ɳ Gaagudju (ER 2653),96635,96635
,,,,,96660,{},False,,ɳ Ngalakgan (ER 2654),96659,96659
,,,,,96691,{},False,,ɳ Ngandi (ER 2655),96690,96690
,,,,,96722,{},False,,ɳ Gun-Dedjnjenghmi (ER 2656),96721,96721
,,,,,96749,{},False,,ɳ Gun-Djeihmi (ER 2657),96748,96748
,,,,,96777,{},False,,ɳ Kune (ER 2658),96776,96776
,,,,,96804,{},False,,ɳ Kuninjku (ER 2659),96803,96803
,,,,,96831,{},False,,ɳ Kunwinjku (ER 2660),96830,96830
,,,,,96858,{},False,,ɳ Mayali (ER 2661),96857,96857
,,,,,96885,{},False,,ɳ Jawoyn (ER 2662),96884,96884
,,,,,96913,{},False,,ɳ Rembarrnga (ER 2663),96912,96912
,,,,,96963,{},False,,ɳ Wubuy (ER 2665),96962,96962
,,,,,96986,{},False,,ɳ Amurdak (ER 2666),96985,96985
,,,,,97010,{},False,,ɳ Marrgu (ER 2667),97009,97009
,,,,,97034,{},False,,ɳ Wurrugu (ER 2668),97033,97033
,,,,,97059,{},False,,ɳ Mawng (ER 2669),97058,97058
,,,,,97080,{},False,,ɳ Garig (ER 2670),97079,97079
,,,,,97104,{},False,,ɳ Ilgar (ER 2671),97103,97103
,,,,,97127,{},False,,ɳ Iwaidja (ER 2672),97126,97126
,,,,,97174,{},False,,ɳ Kija (ER 2674),97173,97173
,,,,,97217,{},False,,ɳ Ndjebbana (ER 2676),97216,97216
,,,,,97239,{},False,,ɳ Gurr-Goni (ER 2677),97238,97238
,,,,,97266,{},False,,ɳ Nakara (ER 2678),97265,97265
,,,,,97292,{},False,,ɳ Marra (ER 2679),97291,97291
,,,,,97312,{},False,,ɳ Warndarrang (ER 2680),97311,97311
,,,,,97335,{},False,,ɳ Alawa (ER 2681),97334,97334
,,,,,97359,{},False,,ɳ Mangarrayi (ER 2682),97358,97358
,,,,,97382,{},False,,ɳ Jaminjung (ER 2683),97381,97381
,,,,,97404,{},False,,ɳ Ngaliwurru (ER 2684),97403,97403
,,,,,97442,{},False,,ɳ Ngarnka (ER 2686),97441,97441
,,,,,97462,{},False,,ɳ Jingulu (ER 2687),97461,97461
,,,,,97484,{},False,,ɳ Binbinka (ER 2688),97483,97483
,,,,,97526,{},False,,ɳ Wambaya (ER 2690),97525,97525
,,,,,97549,{},False,,ɳ Minkin (ER 2691),97548,97548
,,,,,97570,{},False,,ɳ Ngumbarl (ER 2692),97569,97569
,,,,,97590,{},False,,ɳ Nyikina (ER 2693),97589,97589
,,,,,97610,{},False,,ɳ Warrwa (ER 2694),97609,97609
,,,,,97633,{},False,,ɳ Jukun (ER 2695),97632,97632
,,,,,97661,{},False,,ɳ Yawuru (ER 2696),97660,97660
,,,,,97688,{},False,,ɳ Bardi (ER 2697),97687,97687
,,,,,97712,{},False,,ɳ Nimanburu (ER 2698),97711,97711
,,,,,97733,{},False,,ɳ Jabirr-Jabirr (ER 2699),97732,97732
,,,,,97753,{},False,,ɳ Jawi (ER 2700),97752,97752
,,,,,97773,{},False,,ɳ Nyulnyul (ER 2701),97772,97772
,,,,,97805,{},False,,ɳ Alyawarr (ER 2702),97804,97804
,,,,,97848,{},False,,ɳ Eastern Anmatyerre (ER 2703),97847,97847
,,,,,97892,{},False,,ɳ Western Anmatyerre (ER 2704),97891,97891
,,,,,97936,{},False,,ɳ Antekerrepenhe (ER 2705),97935,97935
,,,,,97980,{},False,,ɳ Central Arrernte (ER 2706),97979,97979
,,,,,98024,{},False,,ɳ Ayerrerenge (ER 2707),98023,98023
,,,,,98067,{},False,,ɳ Eastern Arrernte (ER 2708),98066,98066
,,,,,98111,{},False,,ɳ Lower Southern Aranda (ER 2709),98110,98110
,,,,,98155,{},False,,ɳ Western Arrernte (ER 2710),98154,98154
,,,,,98199,{},False,,ɳ Kaytetye (ER 2711),98198,98198
,,,,,98332,{},False,,ɳ Buwandik (ER 2717),98331,98331
,,,,,98357,{},False,,ɳ Warrnambool (ER 2718),98356,98356
,,,,,98402,{},False,,ɳ Muruwari (ER 2720),98401,98401
,,,,,98743,{},False,,ɳ Guwa (ER 2737),98742,98742
,,,,,98766,{},False,,ɳ Yanda (ER 2738),98765,98765
,,,,,98792,{},False,,ɳ Kalkatungu (ER 2739),98791,98791
,,,,,98817,{},False,,ɳ Yalarnnga (ER 2740),98816,98816
,,,,,98842,{},False,,ɳ Payungu (ER 2741),98841,98841
,,,,,98868,{},False,,ɳ Purduna (ER 2742),98867,98867
,,,,,98894,{},False,,ɳ Thalanyji (ER 2743),98893,98893
,,,,,98920,{},False,,ɳ Jiwarli (ER 2744),98919,98919
,,,,,98946,{},False,,ɳ Tharrkari (ER 2745),98945,98945
,,,,,98977,{},False,,ɳ Thiin (ER 2746),98976,98976
,,,,,99003,{},False,,ɳ Warriyangga (ER 2747),99002,99002
,,,,,99028,{},False,,ɳ Mithaka (ER 2748),99027,99027
,,,,,99056,{},False,,ɳ Diyari (ER 2749),99055,99055
,,,,,99081,{},False,,ɳ Thirarri (ER 2750),99080,99080
,,,,,99106,{},False,,ɳ Karangura (ER 2751),99105,99105
,,,,,99131,{},False,,ɳ Ngamini (ER 2752),99130,99130
,,,,,99156,{},False,,ɳ Pirlatapa (ER 2753),99155,99155
,,,,,99183,{},False,,ɳ Yandruwandha (ER 2754),99182,99182
,,,,,99212,{},False,,ɳ Nhirrpi (ER 2755),99211,99211
,,,,,99242,{},False,,ɳ Yawarrawarrka (ER 2756),99241,99241
,,,,,99270,{},False,,ɳ Yarluyandi (ER 2757),99269,99269
,,,,,99292,{},False,,ɳ Punthamara (ER 2758),99291,99291
