allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,96577,{},False,,ɭ Anindilyakwa (ER 2651),96576,96576
,,,,,96603,{},False,,ɭ Dalabon (ER 2652),96602,96602
,,,,,96632,{},False,,ɭ Gaagudju (ER 2653),96631,96631
,,,,,96657,{},False,,ɭ Ngalakgan (ER 2654),96656,96656
,,,,,96687,{},False,,ɭ Ngandi (ER 2655),96686,96686
,,,,,96719,{},False,,ɭ Gun-Dedjnjenghmi (ER 2656),96718,96718
,,,,,96746,{},False,,ɭ Gun-Djeihmi (ER 2657),96745,96745
,,,,,96774,{},False,,ɭ Kune (ER 2658),96773,96773
,,,,,96801,{},False,,ɭ Kuninjku (ER 2659),96800,96800
,,,,,96828,{},False,,ɭ Kunwinjku (ER 2660),96827,96827
,,,,,96855,{},False,,ɭ Mayali (ER 2661),96854,96854
,,,,,96882,{},False,,ɭ Jawoyn (ER 2662),96881,96881
,,,,,96910,{},False,,ɭ Rembarrnga (ER 2663),96909,96909
,,,,,96959,{},False,,ɭ Wubuy (ER 2665),96958,96958
,,,,,96982,{},False,,ɭ Amurdak (ER 2666),96981,96981
,,,,,97005,{},False,,ɭ Marrgu (ER 2667),97004,97004
,,,,,97031,{},False,,ɭ Wurrugu (ER 2668),97030,97030
,,,,,97056,{},False,,ɭ Mawng (ER 2669),97055,97055
,,,,,97076,{},False,,ɭ Garig (ER 2670),97075,97075
,,,,,97100,{},False,,ɭ Ilgar (ER 2671),97099,97099
,,,,,97124,{},False,,ɭ Iwaidja (ER 2672),97123,97123
,,,,,97169,{},False,,ɭ Kija (ER 2674),97168,97168
,,,,,97214,{},False,,ɭ Ndjebbana (ER 2676),97213,97213
,,,,,97236,{},False,,ɭ Gurr-Goni (ER 2677),97235,97235
,,,,,97263,{},False,,ɭ Nakara (ER 2678),97262,97262
,,,,,97288,{},False,,ɭ Marra (ER 2679),97287,97287
,,,,,97309,{},False,,ɭ Warndarrang (ER 2680),97308,97308
,,,,,97331,{},False,,ɭ Alawa (ER 2681),97330,97330
,,,,,97356,{},False,,ɭ Mangarrayi (ER 2682),97355,97355
,,,,,97378,{},False,,ɭ Jaminjung (ER 2683),97377,97377
,,,,,97400,{},False,,ɭ Ngaliwurru (ER 2684),97399,97399
,,,,,97438,{},False,,ɭ Ngarnka (ER 2686),97437,97437
,,,,,97458,{},False,,ɭ Jingulu (ER 2687),97457,97457
,,,,,97480,{},False,,ɭ Binbinka (ER 2688),97479,97479
,,,,,97501,{},False,,ɭ Gudanji (ER 2689),97500,97500
,,,,,97522,{},False,,ɭ Wambaya (ER 2690),97521,97521
,,,,,97544,{},False,,ɭ Minkin (ER 2691),97543,97543
